12.0	1011.0	116.0
22.0	1011.0	116.0
22.0	998.0	116.0
23.0	998.0	113.0
23.0	994.0	113.0
24.0	998.0	116.0
24.0	991.0	116.0
24.0	991.0	116.0
29.0	991.0	116.0
29.0	990.0	126.0
31.0	971.0	151.0
31.0	964.0	281.0
15.0	955.0	306.0
-11.0	913.0	430.0
-11.0	798.0	538.0
-33.0	789.0	564.0
-42.0	723.0	721.0
-70.0	517.0	885.0
-70.0	425.0	909.0
-86.0	292.0	939.0
-86.0	121.0	941.0
-89.0	-92.0	941.0
-94.0	-280.0	941.0
-97.0	-351.0	905.0
-102.0	-440.0	849.0
-97.0	-600.0	794.0
-94.0	-706.0	684.0
-102.0	-803.0	578.0
-75.0	-852.0	459.0
-71.0	-902.0	327.0
-60.0	-954.0	236.0
-60.0	-954.0	-34.0
-55.0	-967.0	-99.0
-60.0	-967.0	-99.0
-64.0	-967.0	-99.0
-64.0	-967.0	-84.0
-55.0	-971.0	-77.0
-64.0	-965.0	-77.0
-54.0	-970.0	-77.0
-54.0	-971.0	-66.0
-57.0	-971.0	-71.0
-62.0	-982.0	-71.0
-57.0	-983.0	-66.0
-57.0	-992.0	-59.0
-57.0	-992.0	-48.0
-49.0	-983.0	-11.0
-49.0	-1001.0	13.0
-57.0	-1001.0	96.0
-57.0	-983.0	108.0
-79.0	-983.0	118.0
-79.0	-953.0	123.0
-70.0	-943.0	123.0
-70.0	-943.0	118.0
-84.0	-943.0	99.0
-92.0	-983.0	85.0
-93.0	-993.0	84.0
-93.0	-1011.0	84.0
-92.0	-993.0	84.0
-85.0	-983.0	84.0
-85.0	-973.0	76.0
-85.0	-973.0	66.0
-85.0	-973.0	63.0
-91.0	-980.0	63.0
-91.0	-980.0	63.0
-79.0	-980.0	48.0
-79.0	-974.0	43.0
-82.0	-970.0	43.0
-78.0	-968.0	38.0
-82.0	-968.0	38.0
-82.0	-968.0	38.0
-80.0	-972.0	58.0
-78.0	-979.0	61.0
-80.0	-979.0	61.0
-65.0	-978.0	61.0
-65.0	-972.0	61.0
-65.0	-978.0	65.0
-65.0	-972.0	69.0
-59.0	-972.0	95.0
-48.0	-981.0	96.0
-48.0	-983.0	117.0
-44.0	-983.0	134.0
-44.0	-983.0	134.0
-36.0	-983.0	134.0
-30.0	-987.0	112.0
-30.0	-969.0	110.0
-36.0	-969.0	94.0
-39.0	-989.0	90.0
-39.0	-986.0	87.0
-42.0	-986.0	85.0
-49.0	-986.0	80.0
-51.0	-986.0	80.0
-49.0	-986.0	73.0
-49.0	-977.0	72.0
-47.0	-977.0	72.0
-42.0	-989.0	72.0
-42.0	-989.0	72.0
-42.0	-977.0	72.0
-42.0	-980.0	70.0
-36.0	-980.0	60.0
-36.0	-980.0	56.0
-33.0	-980.0	53.0
-36.0	-980.0	50.0
-41.0	-985.0	49.0
-41.0	-975.0	49.0
-23.0	-972.0	44.0
-27.0	-972.0	44.0
-25.0	-972.0	42.0
-23.0	-971.0	41.0
-25.0	-972.0	41.0
-27.0	-971.0	42.0
-27.0	-971.0	43.0
-27.0	-975.0	43.0
-27.0	-977.0	43.0
-27.0	-977.0	42.0
-22.0	-983.0	38.0
-22.0	-985.0	38.0
-19.0	-983.0	36.0
-24.0	-983.0	36.0
-15.0	-983.0	38.0
-23.0	-967.0	38.0
-15.0	-967.0	41.0
-17.0	-978.0	41.0
-15.0	-978.0	41.0
-17.0	-978.0	37.0
-15.0	-980.0	33.0
-9.0	-980.0	33.0
-9.0	-981.0	37.0
-9.0	-981.0	33.0
-9.0	-990.0	33.0
-9.0	-990.0	39.0
-9.0	-990.0	32.0
-6.0	-987.0	31.0
-13.0	-987.0	27.0
-6.0	-982.0	27.0
-6.0	-982.0	27.0
0.0	-982.0	36.0
0.0	-982.0	36.0
0.0	-982.0	36.0
-10.0	-988.0	34.0
-1.0	-988.0	31.0
-1.0	-988.0	31.0
-10.0	-988.0	31.0
-1.0	-985.0	31.0
-1.0	-980.0	32.0
-2.0	-985.0	32.0
-2.0	-992.0	32.0
-2.0	-985.0	31.0
-2.0	-992.0	33.0
-4.0	-992.0	28.0
0.0	-979.0	28.0
-5.0	-979.0	28.0
-5.0	-979.0	33.0
-5.0	-979.0	29.0
-4.0	-987.0	30.0
-4.0	-987.0	30.0
2.0	-987.0	30.0
3.0	-987.0	30.0
3.0	-987.0	30.0
4.0	-988.0	34.0
5.0	-988.0	38.0
5.0	-986.0	34.0
4.0	-988.0	34.0
13.0	-986.0	34.0
3.0	-986.0	38.0
-2.0	-983.0	33.0
-2.0	-986.0	33.0
-2.0	-983.0	33.0
-2.0	-983.0	34.0
-1.0	-978.0	34.0
0.0	-975.0	34.0
0.0	-975.0	34.0
0.0	-974.0	32.0
0.0	-974.0	31.0
5.0	-978.0	31.0
5.0	-978.0	26.0
5.0	-978.0	31.0
5.0	-978.0	26.0
5.0	-982.0	26.0
14.0	-976.0	23.0
14.0	-972.0	25.0
14.0	-972.0	23.0
14.0	-974.0	23.0
14.0	-972.0	25.0
